id,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
0,67,1,2,1,4,0,36239,6,5,good
1,22,0,2,1,0,1,184481,48,5,bad
2,49,1,1,1,0,3,64976,12,3,good
3,45,1,2,0,0,0,244342,42,4,good
4,53,1,2,0,0,0,150970,24,1,bad
5,35,1,1,0,4,3,280705,36,3,good
6,53,1,2,1,2,3,87885,24,4,good
7,35,1,3,2,0,1,215388,36,1,good
8,61,1,1,1,3,3,94829,12,5,good
9,28,1,3,1,0,1,162254,30,1,bad
10,25,0,2,2,0,1,40145,12,1,bad
11,24,0,2,2,0,0,133548,48,0,bad
12,22,0,2,1,0,1,48577,12,5,good
13,60,1,1,1,0,0,37169,24,1,bad
14,28,0,2,2,0,0,43493,15,1,good
15,32,0,1,1,1,0,39742,24,5,bad
16,53,1,2,1,4,3,75144,24,5,good
17,25,1,2,1,4,0,250232,30,0,good
18,44,0,3,0,0,1,389949,24,1,bad
19,31,1,2,1,2,3,106330,24,5,good
20,48,1,2,1,0,3,66154,9,1,good
21,44,1,2,2,2,0,82057,6,5,good
22,48,1,1,2,0,0,69471,10,1,good
23,44,1,2,1,1,1,55924,12,1,good
24,26,1,2,1,4,3,64139,10,4,good
25,36,1,1,1,0,0,42594,6,4,good
26,39,1,1,1,0,3,13206,6,5,good
27,42,0,2,2,3,2,12679,12,5,good
28,34,1,2,1,0,1,74865,7,5,good
29,63,1,2,1,0,0,211916,60,0,bad
30,36,1,2,1,3,1,59303,18,0,good
31,27,1,2,1,0,0,124620,24,4,good
32,30,1,2,1,1,1,181846,18,1,good
33,57,1,1,2,4,3,39184,12,0,good
34,33,0,3,1,0,2,45694,12,4,good
35,25,1,1,1,0,1,147126,45,5,bad
36,31,1,2,0,0,3,189410,48,3,good
37,37,1,2,1,0,2,65100,18,5,bad
38,37,1,2,1,0,2,37975,10,2,good
39,24,1,2,1,0,1,14198,9,5,good
40,30,1,3,1,2,3,72323,30,5,good
41,26,1,2,1,2,1,35898,12,5,good
42,44,1,1,1,0,1,192324,18,6,good
43,24,1,2,2,1,0,191797,30,1,good
44,58,0,1,0,0,0,190433,48,1,bad
45,35,0,3,1,0,3,43183,11,1,good
46,39,1,2,1,2,3,71269,36,5,good
47,23,0,0,2,2,0,41912,6,1,good
48,39,1,1,1,0,3,224068,11,1,good
49,28,0,2,1,1,3,64263,12,5,good
50,29,1,1,1,4,1,72323,24,4,good
51,30,1,3,1,0,1,184915,27,1,good
52,25,1,2,1,0,3,39122,12,5,good
53,31,1,2,1,4,3,104718,18,1,good
54,57,1,2,0,0,1,68975,36,1,bad
55,26,1,1,1,4,3,24273,6,1,good
56,52,1,3,1,4,1,200508,12,5,bad
57,31,0,2,1,0,3,296546,36,5,good
58,23,0,3,1,0,2,60791,18,1,good
59,23,0,1,2,0,0,193099,36,4,bad
60,27,1,2,1,0,1,43121,9,0,good
61,50,1,2,1,4,1,47647,15,5,good
62,61,1,3,0,0,1,60543,36,0,bad
63,25,1,2,1,0,1,447051,48,0,bad
64,26,0,2,1,0,3,98611,24,5,good
65,48,1,2,1,4,3,160890,27,6,good
66,29,0,2,1,0,3,67301,12,5,good
67,22,1,2,1,3,1,31217,12,1,good
68,37,1,2,0,0,3,56389,36,3,bad
69,25,0,2,1,4,3,74214,36,5,good
70,30,0,2,1,0,3,252123,36,1,good
71,46,1,1,2,4,3,22630,7,5,good
72,51,1,3,0,0,0,36084,8,7,good
73,41,0,1,1,0,1,184574,42,0,good
74,40,1,3,1,4,0,61287,36,3,bad
75,66,1,3,0,0,0,47306,12,1,good
76,34,1,2,1,0,0,122915,42,5,bad
77,51,1,2,1,0,1,147901,11,5,good
78,39,1,1,1,4,3,292516,54,1,good
79,22,1,2,1,0,1,118792,30,4,good
80,44,0,2,1,4,3,184233,24,5,bad
81,47,1,2,1,2,3,37603,15,5,good
82,24,0,1,2,1,3,48608,18,0,good
83,58,0,1,1,0,0,54405,24,7,good
84,52,1,1,1,0,0,71765,10,5,good
85,29,0,3,1,0,3,43772,12,0,good
86,27,0,2,1,0,1,40145,18,4,good
87,47,1,2,0,1,1,390972,36,3,bad
88,30,1,3,1,1,0,69719,18,1,good
89,28,1,2,1,0,0,34348,12,6,bad
90,56,1,2,1,0,3,19158,12,5,good
91,54,1,2,1,0,0,43679,12,1,good
92,33,0,1,1,4,3,24707,12,5,bad
93,20,1,2,2,4,2,112127,24,4,good
94,54,1,2,1,3,1,40858,12,1,good
95,58,1,2,2,0,1,494295,54,0,bad
96,61,0,2,1,4,3,62372,12,3,good
97,34,1,2,1,1,1,81282,18,0,good
98,36,1,2,1,0,1,72447,36,5,good
99,36,1,3,2,4,1,218767,20,1,good
100,41,1,1,2,1,3,45539,24,1,good
101,24,1,2,2,0,1,72013,36,5,good
102,24,0,2,1,0,3,28892,6,5,good
103,35,1,2,2,0,1,59489,9,4,good
104,26,1,2,2,4,3,75795,12,1,good
105,39,1,3,1,0,1,370078,24,7,bad
106,39,1,3,1,0,3,200198,18,1,bad
107,32,1,2,1,0,1,188418,12,1,good
108,30,0,2,1,4,0,239351,24,4,good
109,35,1,2,1,2,1,43710,14,0,good
110,31,1,2,1,1,1,44919,6,0,good
111,23,0,2,2,0,2,12152,15,3,good
112,28,1,1,2,0,1,194060,18,1,good
113,25,0,2,1,0,3,243505,36,1,bad
114,35,1,2,1,2,0,52080,12,5,good
115,47,1,2,1,4,3,110918,48,5,good
116,30,0,3,1,4,0,222394,42,5,bad
117,27,0,2,2,4,0,66092,10,4,good
118,23,0,2,1,2,0,132711,33,4,bad
119,36,1,3,1,2,1,73346,12,1,good
120,25,0,2,1,0,0,56885,21,5,bad
121,41,0,3,2,0,3,119908,24,1,good
122,24,1,1,2,0,3,54808,12,4,good
123,63,1,2,0,0,2,24211,10,1,good
124,27,0,2,2,4,1,59644,18,4,bad
125,30,1,2,1,0,0,65751,12,1,good
126,40,1,1,1,0,0,21731,12,5,good
127,30,1,2,1,0,1,19809,12,6,bad
128,34,1,3,1,0,1,57660,12,1,good
129,29,0,2,1,0,0,108469,12,1,bad
130,24,0,2,1,4,1,263097,48,1,good
131,29,1,2,1,0,0,213497,36,3,bad
132,27,1,1,1,0,3,83948,15,4,good
133,47,1,2,0,0,3,61504,18,4,good
134,21,0,2,1,1,3,314464,60,5,good
135,38,0,2,1,4,3,38440,12,5,good
136,27,1,2,1,3,3,267003,27,1,good
137,66,1,1,1,2,1,23746,12,5,bad
138,35,1,2,1,4,1,84568,15,5,good
139,44,0,1,2,0,2,58311,12,5,good
140,27,1,0,1,3,2,21979,6,1,good
141,30,0,3,1,0,1,148645,36,5,good
142,27,1,3,1,0,0,105896,27,5,good
143,22,1,2,1,0,0,76322,18,4,bad
144,23,0,2,1,0,3,70928,21,4,good
145,30,1,2,1,1,1,110546,48,0,good
146,39,0,2,1,0,0,26660,6,1,good
147,51,0,2,1,1,3,21142,12,1,good
148,28,1,2,1,0,0,166501,36,4,good
149,46,1,2,1,3,3,49042,18,5,good
150,42,1,2,0,1,3,41726,6,5,good
151,38,1,2,1,0,3,59644,10,5,good
152,24,1,2,1,0,2,181288,36,5,good
153,29,0,2,2,3,1,240498,24,1,good
154,36,1,3,2,1,1,215977,24,0,good
155,20,0,2,2,0,0,39742,12,4,bad
156,48,1,2,1,1,0,39928,9,6,good
157,45,1,1,1,0,0,10509,12,3,good
158,38,1,2,1,1,1,108872,24,1,good
159,34,1,1,1,4,3,58838,6,5,good
160,36,1,2,1,1,3,89032,24,5,good
161,30,0,2,1,0,3,32705,18,1,good
162,36,1,2,1,2,3,39122,15,2,good
163,70,1,3,0,0,1,226548,10,1,good
164,36,1,2,1,2,3,28179,36,1,good
165,32,1,2,1,2,3,92318,6,4,good
166,33,0,2,1,0,0,35061,18,4,bad
167,20,0,2,1,3,1,48887,11,4,good
168,25,0,2,2,0,3,123132,24,4,good
169,31,1,2,1,0,1,59985,24,0,bad
170,33,1,2,2,0,0,29450,15,1,bad
171,26,0,2,1,0,3,23653,12,4,good
172,34,0,3,1,0,1,63984,24,4,bad
173,33,1,2,1,0,1,43834,8,5,good
174,26,1,2,1,0,0,105834,21,3,bad
175,53,0,3,1,4,3,232035,30,1,bad
176,42,1,2,1,0,0,79887,12,4,good
177,52,1,2,1,2,0,10478,6,5,good
178,31,1,3,2,0,3,60853,12,5,good
179,65,1,2,1,0,0,17701,21,1,good
180,28,1,2,1,0,3,296732,36,0,bad
